variant	stage	status	drop_reason	direction	fake_rdm_weight	representability	shape	dominant_owner	dominant_label	dominant_channel	dominant_l	dominant_shell	z_center	rms_x	rms_y	rms_z	owner1_fraction	owner2_fraction	midpoint_tail	other_center_tail	width	s_fraction	px_fraction	py_fraction	pz_fraction	d_fraction	top_labels
s0.99_shape_conservative_occ_0.01	fake_drop	dropped	fake_below_occ_cut	3	0.008763924997481479	0.9957323929742357	transverse_bond	2	b_px7	px	1	7	6.597759225643364e-11	3.8286195639888727	2.2503733942373256	4.237665688186725	0.4999999991764625	0.5000000008235373	0.5606156834018695	0.29270283120410745	2.8577718044517453	2.6015528365485816e-19	0.9244830940779258	0.012692396183110997	8.547355719919665e-19	0.06282450973896324	b_px7:3.265453334359e-01,a_px7:3.265453323722e-01,b_px3:9.823981759377e-02,a_px3:9.823981702436e-02,b_px8:1.571430107037e-02,a_px8:1.571430101043e-02,a_px4:1.050132901126e-02,b_px4:1.050132898257e-02
s0.99_shape_conservative_occ_0.01	fake_drop	dropped	fake_below_occ_cut	4	0.008763924997539911	0.9957323929741229	transverse_bond	2	b_py7	py	1	7	5.4862199556433355e-11	2.250373394216914	3.828619563953755	4.237665688153892	0.49999999932309147	0.5000000006769083	0.560615683387575	0.2927028311948848	2.857771804408004	1.1079567434968881e-18	0.012692396181677435	0.9244830940416617	8.737949423532076e-20	0.06282450977666086	b_py7:3.265453333434e-01,a_py7:3.265453324692e-01,b_py3:9.823981749934e-02,a_py3:9.823981703137e-02,b_py8:1.571430106388e-02,a_py8:1.571430101462e-02,a_py4:1.050132901978e-02,b_py4:1.050132899619e-02
s0.99_shape_conservative_occ_0.03	fake_drop	dropped	fake_below_occ_cut	3	0.008763924997481479	0.9957323929742357	transverse_bond	2	b_px7	px	1	7	6.597759225643364e-11	3.8286195639888727	2.2503733942373256	4.237665688186725	0.4999999991764625	0.5000000008235373	0.5606156834018695	0.29270283120410745	2.8577718044517453	2.6015528365485816e-19	0.9244830940779258	0.012692396183110997	8.547355719919665e-19	0.06282450973896324	b_px7:3.265453334359e-01,a_px7:3.265453323722e-01,b_px3:9.823981759377e-02,a_px3:9.823981702436e-02,b_px8:1.571430107037e-02,a_px8:1.571430101043e-02,a_px4:1.050132901126e-02,b_px4:1.050132898257e-02
s0.99_shape_conservative_occ_0.03	fake_drop	dropped	fake_below_occ_cut	4	0.008763924997539911	0.9957323929741229	transverse_bond	2	b_py7	py	1	7	5.4862199556433355e-11	2.250373394216914	3.828619563953755	4.237665688153892	0.49999999932309147	0.5000000006769083	0.560615683387575	0.2927028311948848	2.857771804408004	1.1079567434968881e-18	0.012692396181677435	0.9244830940416617	8.737949423532076e-20	0.06282450977666086	b_py7:3.265453333434e-01,a_py7:3.265453324692e-01,b_py3:9.823981749934e-02,a_py3:9.823981703137e-02,b_py8:1.571430106388e-02,a_py8:1.571430101462e-02,a_py4:1.050132901978e-02,b_py4:1.050132899619e-02
s0.99_shape_conservative_occ_0.03	fake_drop	dropped	fake_below_occ_cut	5	0.02140024502190907	0.9966243669673637	bond_axis_midbond	1	a_dyy6	dyy	2	6	-4.67164878021831e-14	4.294360880301977	4.294360880298809	4.353835530572279	0.5000000000000054	0.4999999999999945	0.6113836675238502	0.3764135744616989	3.626862915555551	1.0686272810429842e-18	4.123717294771402e-21	6.254279370289197e-21	8.731305020453739e-20	0.9999999999999999	a_dyy6:1.206401210047e-01,b_dyy6:1.206401209961e-01,b_dxx6:1.206401209894e-01,a_dxx6:1.206401209808e-01,a_dyy5:5.032674533070e-02,b_dyy5:5.032674531970e-02,b_dxx5:5.032674531849e-02,a_dxx5:5.032674530749e-02
s0.98	representability_drop	dropped	s_below_cut	5	0.014946800013859018	0.925153078693937	bond_axis_midbond	2	b_s6	s	0	6	1.6287466568700754e-6	1.5426661598166882	1.5426661598444102	2.367702266780317	0.499999490875924	0.5000005091240763	0.37900797330813113	0.1881365925684951	2.4613244844353397	0.934462108949751	8.245302315230786e-22	2.998648924106368e-22	0.010395420949096361	0.055142470101152655	b_s6:1.738913188471e-01,a_s6:1.738910063921e-01,b_s7:1.183924432092e-01,a_s7:1.183922090904e-01,b_s3:1.005624676821e-01,a_s3:1.005622435817e-01,b_s4:3.912556005668e-02,a_s4:3.912544102076e-02
s0.98	representability_drop	dropped	s_below_cut	6	0.022815601434060088	0.9338154693889682	bond_axis_midbond	1	a_s6	s	0	6	-1.7007783048511243e-6	1.5014135698920532	1.50141356986613	2.262308740604725	0.500000580343321	0.4999994196566792	0.371943223818868	0.18819750005857744	2.4699451648891446	0.9265990764889245	2.2363996946442242e-21	1.9830723322942884e-22	7.662883546346664e-6	0.07339326062752942	a_s6:1.364696863418e-01,b_s6:1.364693216648e-01,a_s3:1.112958424254e-01,b_s3:1.112955876978e-01,a_s7:1.082429558349e-01,b_s7:1.082426796899e-01,a_s4:6.153596400545e-02,b_s4:6.153584779784e-02
s0.98	representability_drop	dropped	s_below_cut	7	0.010276401326699361	0.9654794281328943	transverse_bond	2	b_py7	py	1	7	2.0085240233657752e-8	1.3314685247940656	2.25877082603459	2.4884980861611914	0.49999999430166703	0.5000000056983332	0.558721379057369	0.28182847717926235	2.7709010225986663	8.425630780168434e-19	0.015735412597987077	0.9841614262809547	2.4519346734571894e-20	0.00010316112105827367	b_py7:2.398119574419e-01,a_py7:2.398119520295e-01,b_py3:2.245806109577e-01,a_py3:2.245806058424e-01,b_py8:1.321971359429e-02,a_py8:1.321971326956e-02,b_py6:7.292134132558e-03,a_py6:7.292133952229e-03
s0.98	representability_drop	dropped	s_below_cut	8	0.010276401331954045	0.9654794281417473	transverse_bond	2	b_px7	px	1	7	1.0118321825982086e-8	2.2587708259618564	1.3314685247422238	2.4884980860667056	0.4999999971350409	0.500000002864959	0.558721379057198	0.2818284771791223	2.7709010225982533	5.196968247102183e-18	0.9841614262800175	0.01573541259893703	2.757329279912271e-20	0.00010316112104519928	b_px7:2.398119560796e-01,a_px7:2.398119533899e-01,b_px3:2.245806096713e-01,a_px3:2.245806071288e-01,b_px8:1.321971351259e-02,a_px8:1.321971335142e-02,b_px6:7.292134087467e-03,a_px6:7.292133997706e-03
s0.98_shape_none_occ_0.01	fake_drop	dropped	fake_below_occ_cut	10	0.0035238694179086177	0.9984161367347338	bond_axis_midbond	2	b_s3	s	0	3	-8.806015465775316e-8	3.9970621638268087	3.997062163826456	6.648605774405601	0.49999997472084723	0.5000000252791529	0.3466605671227592	0.17192757201658337	2.386554153887956	0.8279708978646193	7.258278555968586e-22	1.649992724320654e-22	0.0347311428408497	0.1372979592945311	b_s3:1.428099354310e-01,a_s3:1.428099168020e-01,b_s5:1.422346221487e-01,a_s5:1.422346143774e-01,b_s7:4.112807455200e-02,a_s7:4.112806421074e-02,b_s6:2.993989159975e-02,a_s6:2.993988278185e-02
s0.98_shape_none_occ_0.01	fake_drop	dropped	fake_below_occ_cut	11	0.005013519042182014	0.9978091812209856	bond_axis_midbond	2	b_s3	s	0	3	2.8528415661063782e-8	4.915417486077412	4.9154174860774615	4.054726505736058	0.49999996440133254	0.5000000355986675	0.2963907656202792	0.13387792090475756	1.9549531700192049	0.8688147633119054	1.0976420418963369e-21	1.0193203723945108e-22	0.0001612588946092344	0.1310239777934855	b_s3:1.743721536740e-01,a_s3:1.743721302942e-01,b_s6:8.587352852432e-02,a_s6:8.587350858203e-02,b_s4:7.822349997648e-02,a_s4:7.822349244583e-02,b_s5:4.872763879743e-02,a_s5:4.872763874719e-02
s0.98_shape_none_occ_0.01	fake_drop	dropped	fake_below_occ_cut	12	0.005973187279388175	0.9962515962479328	bond_axis_midbond	1	a_s3	s	0	3	8.820154554341583e-10	1.7480336186811403	1.7480336186808731	3.143388149960572	0.5000000478808313	0.49999995211916887	0.327638475752072	0.16775530095813207	2.4089412190775614	0.765801314129705	4.775919502517171e-21	3.126493610834385e-21	0.09255068504806	0.141648000822235	a_s3:1.645928352137e-01,b_s3:1.645928086074e-01,a_s4:1.139543286011e-01,b_s4:1.139542590784e-01,b_s6:5.236757416808e-02,a_s6:5.236755404343e-02,b_s9:3.004218438621e-02,a_s9:3.004217107226e-02
s0.98_shape_none_occ_0.01	fake_drop	dropped	fake_below_occ_cut	13	0.008763924997481529	0.9957323929742369	transverse_bond	2	b_px7	px	1	7	6.595324769434592e-11	3.828374132180061	2.250790901728557	4.237665688186658	0.4999999991764594	0.5000000008235407	0.5606156834018691	0.2927028312041067	2.8577718044517355	2.513956180283999e-19	0.9243044955354378	0.012870994725599664	5.665482966512349e-20	0.0628245097389626	b_px7:3.264822489718e-01,a_px7:3.264822479083e-01,b_px3:9.822083889277e-02,a_px3:9.822083832346e-02,b_px8:1.571126526443e-02,a_px8:1.571126520450e-02,a_px4:1.049930028616e-02,b_px4:1.049930025747e-02
s0.98_shape_none_occ_0.01	fake_drop	dropped	fake_below_occ_cut	14	0.008763924997540602	0.995732392974124	transverse_bond	2	b_py7	py	1	7	5.4843710162203085e-11	2.250790901708226	3.8283741321451235	4.237665688153833	0.49999999932309275	0.5000000006769072	0.5606156833875778	0.292702831194891	2.8577718044080873	1.4761004647327358e-18	0.012870994724296368	0.9243044954990256	3.529986321073189e-20	0.06282450977667788	b_py7:3.264822488792e-01,a_py7:3.264822480052e-01,b_py3:9.822083879831e-02,a_py3:9.822083833044e-02,b_py8:1.571126525795e-02,a_py8:1.571126520870e-02,a_py4:1.049930029468e-02,b_py4:1.049930027110e-02
s0.98_shape_none_occ_0.03	fake_drop	dropped	fake_below_occ_cut	10	0.0035238694179086177	0.9984161367347338	bond_axis_midbond	2	b_s3	s	0	3	-8.806015465775316e-8	3.9970621638268087	3.997062163826456	6.648605774405601	0.49999997472084723	0.5000000252791529	0.3466605671227592	0.17192757201658337	2.386554153887956	0.8279708978646193	7.258278555968586e-22	1.649992724320654e-22	0.0347311428408497	0.1372979592945311	b_s3:1.428099354310e-01,a_s3:1.428099168020e-01,b_s5:1.422346221487e-01,a_s5:1.422346143774e-01,b_s7:4.112807455200e-02,a_s7:4.112806421074e-02,b_s6:2.993989159975e-02,a_s6:2.993988278185e-02
s0.98_shape_none_occ_0.03	fake_drop	dropped	fake_below_occ_cut	11	0.005013519042182014	0.9978091812209856	bond_axis_midbond	2	b_s3	s	0	3	2.8528415661063782e-8	4.915417486077412	4.9154174860774615	4.054726505736058	0.49999996440133254	0.5000000355986675	0.2963907656202792	0.13387792090475756	1.9549531700192049	0.8688147633119054	1.0976420418963369e-21	1.0193203723945108e-22	0.0001612588946092344	0.1310239777934855	b_s3:1.743721536740e-01,a_s3:1.743721302942e-01,b_s6:8.587352852432e-02,a_s6:8.587350858203e-02,b_s4:7.822349997648e-02,a_s4:7.822349244583e-02,b_s5:4.872763879743e-02,a_s5:4.872763874719e-02
s0.98_shape_none_occ_0.03	fake_drop	dropped	fake_below_occ_cut	12	0.005973187279388175	0.9962515962479328	bond_axis_midbond	1	a_s3	s	0	3	8.820154554341583e-10	1.7480336186811403	1.7480336186808731	3.143388149960572	0.5000000478808313	0.49999995211916887	0.327638475752072	0.16775530095813207	2.4089412190775614	0.765801314129705	4.775919502517171e-21	3.126493610834385e-21	0.09255068504806	0.141648000822235	a_s3:1.645928352137e-01,b_s3:1.645928086074e-01,a_s4:1.139543286011e-01,b_s4:1.139542590784e-01,b_s6:5.236757416808e-02,a_s6:5.236755404343e-02,b_s9:3.004218438621e-02,a_s9:3.004217107226e-02
s0.98_shape_none_occ_0.03	fake_drop	dropped	fake_below_occ_cut	13	0.008763924997481529	0.9957323929742369	transverse_bond	2	b_px7	px	1	7	6.595324769434592e-11	3.828374132180061	2.250790901728557	4.237665688186658	0.4999999991764594	0.5000000008235407	0.5606156834018691	0.2927028312041067	2.8577718044517355	2.513956180283999e-19	0.9243044955354378	0.012870994725599664	5.665482966512349e-20	0.0628245097389626	b_px7:3.264822489718e-01,a_px7:3.264822479083e-01,b_px3:9.822083889277e-02,a_px3:9.822083832346e-02,b_px8:1.571126526443e-02,a_px8:1.571126520450e-02,a_px4:1.049930028616e-02,b_px4:1.049930025747e-02
s0.98_shape_none_occ_0.03	fake_drop	dropped	fake_below_occ_cut	14	0.008763924997540602	0.995732392974124	transverse_bond	2	b_py7	py	1	7	5.4843710162203085e-11	2.250790901708226	3.8283741321451235	4.237665688153833	0.49999999932309275	0.5000000006769072	0.5606156833875778	0.292702831194891	2.8577718044080873	1.4761004647327358e-18	0.012870994724296368	0.9243044954990256	3.529986321073189e-20	0.06282450977667788	b_py7:3.264822488792e-01,a_py7:3.264822480052e-01,b_py3:9.822083879831e-02,a_py3:9.822083833044e-02,b_py8:1.571126525795e-02,a_py8:1.571126520870e-02,a_py4:1.049930029468e-02,b_py4:1.049930027110e-02
s0.98_shape_none_occ_0.03	fake_drop	dropped	fake_below_occ_cut	15	0.015732536842715146	0.9988682003663764	bond_axis_midbond	1	a_s3	s	0	3	-8.37529635038717e-10	2.7773181734370125	2.7773181734370356	4.034472813656927	0.5000000691867027	0.4999999308132977	0.2708697984265616	0.11583256034893126	1.9455026570752574	0.7641290389028849	2.1113408818520993e-22	2.5990908690759412e-21	0.06130792208966147	0.17456303900745382	a_s3:1.867130566288e-01,b_s3:1.867130080672e-01,a_s6:1.132600033496e-01,b_s6:1.132599604481e-01,a_s4:4.064699367631e-02,b_s4:4.064698005141e-02,a_dxx1:2.463094354007e-02,a_dyy1:2.463094354007e-02
s0.98_shape_none_occ_0.03	fake_drop	dropped	fake_below_occ_cut	16	0.018177640043723423	0.9988210601549026	bond_axis_midbond	2	b_s3	s	0	3	3.764064543195159e-9	3.0340521159493696	3.0340521159421647	4.330859803667207	0.4999999835246831	0.5000000164753168	0.3621129202979724	0.19418795178875217	2.6076982665975748	0.9043060166556603	5.563086277917936e-22	1.0456041285040887e-21	0.007762949363707383	0.08793103398063218	b_s3:1.492382971442e-01,a_s3:1.492382898835e-01,b_s4:1.182714581637e-01,a_s4:1.182714480942e-01,b_s6:1.093137684178e-01,a_s6:1.093137622890e-01,b_s9:3.809748013032e-02,a_s9:3.809747787643e-02
s0.98_shape_none_occ_0.03	fake_drop	dropped	fake_below_occ_cut	17	0.02140024502190916	0.9966243669673654	bond_axis_midbond	1	a_dyy6	dyy	2	6	6.532141067874266e-15	4.294360880297389	4.294360880303405	4.3538355305722805	0.49999999999999944	0.5000000000000008	0.6113836675238504	0.37641357446169904	3.626862915555552	1.4888509725487087e-18	4.1252716221481754e-21	6.2574035132247404e-21	5.296239424400806e-21	1.0000000000000002	a_dyy6:1.206401210034e-01,b_dyy6:1.206401209997e-01,b_dxx6:1.206401209858e-01,a_dxx6:1.206401209821e-01,a_dyy5:5.032674533173e-02,b_dyy5:5.032674532191e-02,b_dxx5:5.032674531628e-02,a_dxx5:5.032674530646e-02
s0.98_shape_conservative	shape_drop	dropped	shape_filter	1	0.798326608955027	0.9995449421025445	bond_axis_midbond	1	a_pz7	pz	1	7	-8.000038239784285	3.073420537149882	3.0734205371497874	2.227045594681889	0.5497165201984738	0.4502834798015261	0.5200008206249035	0.2822734014116196	2.8585906494068447	0.5333554748258416	1.2769951017730872e-22	1.1721775494883107e-21	0.43337746128185295	0.03326706389230523	a_pz7:2.455114692227e-01,b_s4:2.449030853188e-01,a_pz3:1.546627954230e-01,b_s6:6.850008392561e-02,a_s4:5.876486199671e-02,b_s3:5.557716283917e-02,b_pz7:2.432843284208e-02,a_s6:2.256159795459e-02
s0.98_shape_conservative	shape_drop	dropped	shape_filter	2	1.3155886104579084	0.998420203890417	outer_tail	1	a_s4	s	0	4	-5.747012331765525	3.6248442605286604	3.624844260530397	2.3488963308848625	0.8928622069058099	0.10713779309418991	0.5431879220073552	0.3199008373361422	3.2500848904627357	0.735474462994445	1.042135319968725e-21	2.5221496400574735e-22	0.169926102248977	0.0945994347565781	a_s4:4.883633643642e-01,a_pz3:6.497896384657e-02,a_s6:6.105098469370e-02,a_pz7:5.165530838491e-02,b_s9:4.308726385786e-02,a_s3:3.909005163964e-02,a_pz8:3.425242329619e-02,a_s9:3.168605385266e-02
s0.98_shape_conservative	shape_drop	dropped	shape_filter	3	1.3273131849342343	0.9977919960116441	bond_axis_midbond	1	a_s4	s	0	4	-4.32863760934912	4.264407508077825	4.264407508071099	2.4111262788456824	0.6954854885503976	0.3045145114496023	0.5074317679162641	0.27134770845361394	2.680779816569154	0.6485896539466226	1.5221161916401957e-21	6.300522089362454e-22	0.3400846945111649	0.01132565154221256	a_s4:3.089669588983e-01,a_pz7:1.843061533376e-01,b_s4:1.459816301663e-01,a_pz3:9.616632538273e-02,b_pz7:4.453471959922e-02,b_s6:4.388588632669e-02,a_s6:4.141224427182e-02,a_s3:3.425050969225e-02
s0.98_shape_conservative	shape_drop	dropped	shape_filter	4	0.4352278810390028	0.998956998381024	bond_axis_midbond	2	b_s4	s	0	4	-2.8054037790908546	6.516440049934011	6.516440049929045	4.470362654243753	0.4977717177857242	0.5022282822142757	0.5899528349261675	0.3884018910958301	3.9297443014693827	0.7906237605777948	3.6247732542845588e-22	1.7954151956133082e-22	0.16381367064840882	0.045562568773796525	b_s4:2.209612508106e-01,a_s9:1.342816510019e-01,a_s4:9.902578736859e-02,b_s6:7.539308101504e-02,a_s6:6.598290333644e-02,a_s3:5.377840817778e-02,a_pz8:5.085048930954e-02,b_s3:4.967705724831e-02
s0.98_shape_conservative	shape_drop	dropped	shape_filter	5	1.026732826766368	0.9990275778612809	bond_axis_midbond	1	a_s5	s	0	5	-2.2243581129746284	1.6442723053763177	1.6442723053753505	1.1547491698134067	0.6925719943389875	0.30742800566101247	0.44315419919307836	0.2198918012980548	2.4443394920801054	0.5593791480447815	3.045083572796754e-21	3.2315312188006237e-21	0.37529786333156734	0.06532298862365113	a_s5:1.539386743537e-01,a_pz7:1.414733507823e-01,a_s3:1.146092702715e-01,b_pz7:8.900479532423e-02,a_pz3:8.796715618642e-02,b_s4:8.476003681345e-02,b_pz3:5.014264714523e-02,b_s6:4.237083206431e-02
s0.98_shape_conservative	shape_drop	dropped	shape_filter	6	1.7902786928283572	0.998150016422916	bond_axis_midbond	1	a_s4	s	0	4	-1.1882946122728437	2.501936480811092	2.5019364808089106	1.5903882734200294	0.6241262273760373	0.3758737726239626	0.4683828787979198	0.24968770224573641	2.5809120946464374	0.7365683388801059	3.8680873007124805e-22	2.120322837004429e-22	0.24226295548147908	0.02116870563841505	a_s4:3.034133008175e-01,b_s4:2.503025842720e-01,a_pz3:1.371340086760e-01,a_s3:6.300566442479e-02,b_s3:5.653611299179e-02,a_s6:3.399771616161e-02,a_pz7:2.426766786613e-02,b_pz7:2.334325558304e-02
s0.98_shape_conservative	shape_drop	dropped	shape_filter	7	1.0877325118690222	0.9983890097447748	bond_axis_midbond	2	b_s4	s	0	4	-0.757501903664264	1.3940729268616279	1.3940729268618726	1.193535382886783	0.5975931603196772	0.40240683968032254	0.49247450278287336	0.2537839473372705	2.589294302987063	0.5111007575258344	5.472211155988935e-22	2.874162973602113e-21	0.43934340401010635	0.04955583846405933	b_s4:2.582725927973e-01,a_pz3:2.202206627524e-01,a_s4:1.576863765490e-01,a_pz7:8.706751786034e-02,b_pz3:4.513682901967e-02,b_s3:4.144175820236e-02,a_pz4:2.860512976928e-02,a_pz6:2.509674038010e-02
s0.98_shape_conservative	shape_drop	dropped	shape_filter	8	1.0877325146714578	0.9983890097174424	bond_axis_midbond	1	a_s4	s	0	4	0.7575019031851653	1.3940729318193485	1.3940729318190017	1.193535382649372	0.4024068515298209	0.5975931484701792	0.4924744926979918	0.2537839400282788	2.589294267329704	0.5111007538662886	1.489496302224599e-21	1.8177717794501173e-21	0.439343399214095	0.04955584691961634	a_s4:2.582726020862e-01,b_pz3:2.202206610179e-01,b_s4:1.576863372865e-01,b_pz7:8.706751802862e-02,a_pz3:4.513682736003e-02,a_s3:4.144175887922e-02,b_pz4:2.860512899950e-02,b_pz6:2.509674011482e-02
s0.98_shape_conservative	shape_drop	dropped	shape_filter	9	1.790278585370245	0.9981500163306645	bond_axis_midbond	2	b_s4	s	0	4	1.1882946085965844	2.5019363384398106	2.50193633843575	1.5903882327016137	0.3758737106699481	0.6241262893300514	0.46838287679241813	0.24968769999271206	2.5809120877757823	0.7365683287876048	1.6255638639538357e-23	1.716580728023344e-22	0.24226296728255317	0.021168703929841968	b_s4:3.034133214251e-01,a_s4:2.503025354516e-01,b_pz3:1.371340142405e-01,b_s3:6.300567967930e-02,a_s3:5.653610218181e-02,b_s6:3.399772286640e-02,b_pz7:2.426767624290e-02,a_pz7:2.334325358999e-02
