row_index	local_index	state_x	state_y	state_z	x	y	z	nearest_center_distance	terminal_support_weight	parent_product_weight	parent_minus_terminal_weight	u_direct	row_action	ratio_row_action_over_u_direct	row_residual	residual_abs	residual_sq_fraction_direct_core	residual_sq_fraction_all	analytic_point_potential	analytic_equal_width_gaussian_average	row_action_minus_point	u_direct_minus_point	u_direct_minus_equal_width_average	boundary	core_center	small_weight_q25	local_spacing_x	local_spacing_y	local_spacing_z	local_spacing_min	local_spacing_geom
66	66	7	8	5	2.6645352591003757e-15	0.3073661477337257	-0.6997875680278085	0.764314456973663	0.21407053855325595	0.21407053855325595	0.0	1.2687916533525674	1.30767571515786	1.0306465302656649	0.008323932051797045	0.008323932051797045	0.0005544537860131462	0.0005514089096879431	1.3054394959555684	1.2682829595332263	0.002236219202291556	-0.036647842603001024	0.000508693819341044	true	false	false	0.3073661477337204	0.30736614773372306	0.3924214202940908	0.3073661477337204	0.3334429896192482
67	67	7	8	6	2.6645352591003757e-15	0.3073661477337257	-0.30736614773371773	0.43468137473940166	0.18156013972258675	0.18156013972258675	0.0	1.7967898918690384	2.108499280382616	1.1734812678567188	0.05659400013136723	0.05659400013136723	0.025630028166761926	0.025489276551482285	2.1117006496040593	1.7969537676033565	-0.0032013692214434286	-0.314910757735021	-0.00016387573431808633	false	false	true	0.3073661477337204	0.30736614773372306	0.3073661477337204	0.3073661477337204	0.3073661477337213
68	68	7	8	7	2.6645352591003757e-15	0.3073661477337257	2.6645352591003757e-15	0.3073661477337257	0.16998796948313505	0.16998796948313505	0.0	2.001703484616946	2.541355849185755	1.2695965554918733	0.09173440967982432	0.09173440967982432	0.06733995807626325	0.06697014935773875	2.541276389102084	2.0020137334157226	7.946008367065716e-5	-0.5395729044851381	-0.00031024879877650235	false	false	true	0.3073661477337204	0.30736614773372306	0.3073661477337204	0.3073661477337204	0.3073661477337213
69	69	7	8	8	2.6645352591003757e-15	0.3073661477337257	0.3073661477337257	0.43468137473940727	0.1815601397225941	0.1815601397225941	0.0	1.7967898918690197	2.1084992803825924	1.173481267856718	0.056594000131368616	0.056594000131368616	0.025630028166763186	0.025489276551483538	2.1117006496040407	1.7969537676033471	-0.0032013692214483136	-0.314910757735021	-0.0001638757343274122	false	false	true	0.3073661477337204	0.30736614773372306	0.30736614773372306	0.3073661477337204	0.30736614773372223
70	70	7	8	9	2.6645352591003757e-15	0.3073661477337257	0.6997875680278121	0.7643144569736662	0.21407053855326247	0.21407053855326247	0.0	1.2687916533525532	1.3076757151578502	1.0306465302656689	0.008323932051798266	0.008323932051798266	0.0005544537860133089	0.0005514089096881049	1.305439495955563	1.2682829595332221	0.0022362192022871152	-0.036647842603009906	0.000508693819331052	true	false	false	0.3073661477337204	0.30736614773372306	0.39242142029408633	0.3073661477337204	0.3334429896192469
71	71	7	9	5	2.6645352591003757e-15	0.6997875680278121	-0.6997875680278085	0.9896490694850142	0.25240229241121054	0.25240229241121054	0.0	1.0057378563924748	1.011690981083489	1.0059191613929774	0.0015025823190217835	0.0015025823190217835	1.8066950257563415e-5	1.796773255809843e-5	1.0103830128091733	1.005281874193183	0.001307968274315785	-0.004645156416698493	0.0004559821992917712	true	false	false	0.3073661477337204	0.39242142029408633	0.3924214202940908	0.3073661477337204	0.36173218210921154
72	72	7	9	6	2.6645352591003757e-15	0.6997875680278121	-0.30736614773371773	0.764314456973663	0.2140705385532538	0.2140705385532538	0.0	1.2687916533525643	1.3076757151578633	1.0306465302656702	0.008323932051798377	0.008323932051798377	0.0005544537860133237	0.0005514089096881195	1.3054394959555684	1.2682829595332263	0.002236219202294887	-0.03664784260300413	0.0005086938193379353	true	false	false	0.3073661477337204	0.39242142029408633	0.3073661477337204	0.3073661477337204	0.3334429896192459
73	73	7	9	7	2.6645352591003757e-15	0.6997875680278121	2.6645352591003757e-15	0.6997875680278121	0.20042624020024263	0.20042624020024263	0.0	1.3611997796398192	1.425250704486398	1.047054756990577	0.012837486048348112	0.012837486048348112	0.00131876760325633	0.001311525368908047	1.4216832604918397	1.3607237317274465	0.003567443994558328	-0.06048348085202049	0.00047604791237265687	true	false	true	0.3073661477337204	0.39242142029408633	0.3073661477337204	0.3073661477337204	0.3334429896192459
74	74	7	9	8	2.6645352591003757e-15	0.6997875680278121	0.3073661477337257	0.7643144569736662	0.21407053855326247	0.21407053855326247	0.0	1.2687916533525532	1.3076757151578495	1.0306465302656682	0.008323932051798155	0.008323932051798155	0.0005544537860132942	0.0005514089096880902	1.305439495955563	1.2682829595332221	0.002236219202286449	-0.036647842603009906	0.000508693819331052	true	false	false	0.3073661477337204	0.39242142029408633	0.30736614773372306	0.3073661477337204	0.3334429896192469
75	75	7	9	9	2.6645352591003757e-15	0.6997875680278121	0.6997875680278121	0.9896490694850167	0.2524022924112182	0.2524022924112182	0.0	1.005737856392465	1.011690981083482	1.00591916139298	0.0015025823190225052	0.0015025823190225052	1.806695025758077e-5	1.7967732558115686e-5	1.0103830128091709	1.0052818741931806	0.001307968274311122	-0.00464515641670582	0.0004559821992844437	true	false	false	0.3073661477337204	0.39242142029408633	0.39242142029408633	0.3073661477337204	0.36173218210921015
