localized_mode	z_center	localized_shape	localized_fake_rdm_weight	localized_representability	localized_rule_bucket	dominant_svd_mode	dominant_svd_overlap	dominant_svd_status	dominant_svd_representability	dominant_svd_fake_rdm_weight	dominant_svd_label	dominant_svd_channel
21	-2.254632497493267	atom_local	0.9709620833286473	0.9760263060222234	relaxed_atom_local_fake_ge_1e_m3_repr_ge_0p95	50	0.11968807530195734	kept	0.9996673648374477	0.3341057939842914	a_s3	s
22	-2.0760624387512734	atom_local	0.6117837297907264	0.9917494179946599	strict_fake_ge_1e_m3_repr_ge_0p99	99	0.1571619675769519	dropped	0.9679052218134182	0.0089285974304042	a_py7	py
23	-2.076062438748657	atom_local	0.6117837298028321	0.9917494179945595	strict_fake_ge_1e_m3_repr_ge_0p99	100	0.15716196737464824	dropped	0.9679052218120436	0.008928597429457931	a_px7	px
24	-2.048452110144173	atom_local	1.1033719129242179	0.9991430590906162	strict_fake_ge_1e_m3_repr_ge_0p99	23	0.1918383077666952	kept	0.9999547491315816	2.3255553427145057	a_dxy2	dxy
25	-2.048452110144171	atom_local	0.7363525927470134	0.9983201499730034	strict_fake_ge_1e_m3_repr_ge_0p99	12	0.2547040367361559	kept	0.9999900493386757	1.7923105937418549	a_dyy2	dyy
26	-2.024948190889363	atom_local	0.7486306558473401	0.9646336659116139	relaxed_atom_local_fake_ge_1e_m3_repr_ge_0p95	21	0.10351217589365	kept	0.999957910909609	0.7376842986063016	a_dzz6	dzz
27	-1.9181897353839918	atom_local	1.2629530908203628	0.9965047846240089	strict_fake_ge_1e_m3_repr_ge_0p99	92	0.15364955742779263	kept	0.9937024873601702	0.150400985643231	b_px7	px
28	-1.9181897353819723	atom_local	1.2629530908266808	0.9965047846239414	strict_fake_ge_1e_m3_repr_ge_0p99	93	0.15364955743383293	kept	0.9937024873600776	0.1504009856375484	b_py7	py
29	-1.8307429289555799	atom_local	0.7226722993337442	0.9856517752514131	relaxed_atom_local_fake_ge_1e_m3_repr_ge_0p95	86	0.179106472806142	kept	0.9964326001547318	0.262973600945393	a_s3	s
30	-1.8133236567111517	atom_local	0.7809162970671167	0.9895987140450503	relaxed_atom_local_fake_ge_1e_m3_repr_ge_0p95	99	0.15293187154889892	dropped	0.9679052218134182	0.0089285974304042	a_py7	py
