localized_mode	z_center	x_center	y_center	rms_x	rms_y	rms_z	owner1_fraction	owner2_fraction	dominant_owner	dominant_label	dominant_label_group	dominant_channel	width	midpoint_tail	other_center_tail	fake_rdm_weight	representability	strict_keep	relaxed_atom_local_keep	shape	rule_bucket	compact_fraction	near_fraction	s_fraction	px_fraction	py_fraction	pz_fraction	d_fraction	top_labels
31	-1.8133236567074882	-1.5485006984268948e-12	-3.2664591859430546e-13	2.0930546706835282	1.4810970829894452	1.0043104800305285	0.9995768015500073	0.0004231984499923696	1	a_px7	a_px	px	2.793920256646087	0.5602105775399091	0.28389909990499124	0.7809162970578185	0.9895987140436989	false	true	atom_local	relaxed_atom_local_fake_ge_1e_m3_repr_ge_0p95	7.639725400012992e-6	0.9999923602745998	1.787570011238395e-21	0.8323646651412876	0.16725374477700544	3.011613907697286e-24	0.0003815900817066056	a_px7:4.062609193279e-01,a_px3:3.736984217178e-01,a_py7:8.163328281444e-02,a_py3:7.509023756906e-02,a_px8:2.614326982959e-02,a_px6:1.123470810800e-02,a_px4:7.827309154209e-03,a_px5:6.919638769600e-03
32	-1.6902185584962943	4.699461605411316e-12	5.8283293315361325e-12	2.093223249872591	2.0932232498702756	1.976006539074011	0.9986246189775082	0.00137538102249158	1	a_s5	a_s	s	2.407296986323423	0.43335420035290456	0.21446253740127674	0.05093478027647342	0.8612732131837884	false	false	atom_local	fake_high_ambiguous_or_poor	0.17596007756509724	0.8240399224349031	0.8276943827896642	3.576989159568932e-24	6.1992394578747116e-24	0.0008758871157815845	0.17142973009455403	a_s5:3.710524027206e-01,a_s4:2.612777926547e-01,a_s3:1.046075038950e-01,a_s8:6.992970413692e-02,a_dzz2:2.671707874289e-02,a_dyy2:2.642964796843e-02,a_dxx2:2.642964796843e-02,a_dzz1:2.366145481903e-02
33	-1.6338218222636345	4.906150998087729e-14	2.7213393918300345e-14	1.9294069500867623	1.9294069500867546	1.1370409087297735	0.9823953992829889	0.01760460071701105	1	a_dxy5	a_dxy	dxy	2.1737943400249673	0.3846055067112019	0.1502931318921653	0.7636623139360108	0.9981726431241222	true	true	atom_local	strict_fake_ge_1e_m3_repr_ge_0p99	0.0007319950126535475	0.9992680049873465	8.88844475366499e-19	2.005844112164672e-23	2.4186155527093576e-24	2.7118518167621327e-24	1.0000000000000002	a_dxy5:2.767081524340e-01,a_dyy5:2.036855420829e-01,a_dxx5:2.036855420209e-01,a_dxy4:7.968227688448e-02,a_dxx4:5.865431727043e-02,a_dyy4:5.865431723403e-02,a_dxy6:3.521708777030e-02,a_dyy6:2.592338371464e-02
34	-1.6338218222636236	-6.08498132549567e-14	6.410524601420826e-14	1.9294069500867586	1.9294069500867532	1.1370409087297735	0.9823953992829892	0.017604600717010605	1	a_dxy5	a_dxy	dxy	2.1737943400249646	0.3846055067112018	0.15029313189216498	0.7608110323347672	0.9981629988568227	true	true	atom_local	strict_fake_ge_1e_m3_repr_ge_0p99	0.00073199501265355	0.9992680049873462	6.052266753431542e-19	1.0156094638971645e-22	1.3242758372102548e-23	1.8717126189112634e-23	0.9999999999999997	a_dxy5:2.705667233491e-01,a_dyy5:2.067562566211e-01,a_dxx5:2.067562565676e-01,a_dxy4:7.791375995246e-02,a_dxx4:5.953857573645e-02,a_dyy4:5.953857570002e-02,a_dxy6:3.443545829819e-02,a_dyy6:2.631419845029e-02
35	-1.600937599909333	-2.622244107333263e-13	1.8779935120882264e-14	0.7596852642972051	0.7596852642977315	0.5486581689430514	0.9960943323942085	0.0039056676057917282	1	a_s5	a_s	s	2.7279047420137674	0.4801570582447483	0.2464430525600702	0.8233614763600651	0.9920505340562757	true	true	atom_local	strict_fake_ge_1e_m3_repr_ge_0p99	0.03414464119089264	0.9658553588091074	0.8802344582554771	2.6749463363906742e-24	4.403571856809653e-25	0.0017020259647838748	0.11806351577973902	a_s5:3.644769875112e-01,a_s7:1.891271444994e-01,a_s8:1.083224931487e-01,a_s4:8.107049521086e-02,a_s6:7.991253544503e-02,a_s9:4.404516551078e-02,a_dzz2:2.007978388739e-02,a_dyy2:1.963362978648e-02
36	-1.5893942608439706	-1.4772219289679132e-13	2.1204982191829273e-13	0.6735039330615101	0.6735039330806001	0.6664191909705469	0.9999876143027919	1.238569720826544e-5	1	a_s6	a_s	s	2.1779838037081527	0.34152784915082024	0.15723978743915562	0.015309193227900156	0.9480206250889278	false	false	atom_local	fake_high_ambiguous_or_poor	0.33286182289511124	0.6671381771048889	0.9144124049372504	4.0184513753178284e-25	8.094396454484705e-25	9.046209513708004e-6	0.08557854885323607	a_s6:3.207998967587e-01,a_s3:2.583774812239e-01,a_s7:1.430406926260e-01,a_s4:7.121791400367e-02,a_s5:5.924661816138e-02,a_s8:3.213422612670e-02,a_dzz1:2.241863602865e-02,a_dyy1:2.241618466039e-02
37	-1.587669528652383	-2.537766720608248e-15	3.62366602279792e-15	0.37176853378030744	0.37176853376934815	0.36173887485448925	0.9991791964793999	0.0008208035205999254	1	a_s7	a_s	s	3.116180468293831	0.49220046535643897	0.27672124542464377	0.2674396114548287	0.9931863946650804	true	true	atom_local	strict_fake_ge_1e_m3_repr_ge_0p99	0.006254726471660001	0.9937452735283407	0.976296144721192	1.8528165553579118e-25	5.815272221861079e-26	0.0004739770056703185	0.02322987827313778	a_s7:4.502602956018e-01,a_s6:2.819298171627e-01,a_s9:1.244169843686e-01,a_s5:5.500345143799e-02,a_s4:5.078836744280e-02,a_s8:7.737103294431e-03,a_dxx4:4.171272404511e-03,a_dyy4:4.171272404395e-03
38	-1.5873828394617993	-3.137340311253601e-14	2.04848608685906e-14	0.5448590220385421	0.5448590220406639	0.3145751232466529	0.9999884691886943	1.1530811305929356e-5	1	a_dyy5	a_dyy	dyy	1.749826544140209	0.3442227741647019	0.11246280021393984	0.7630953866043775	0.9994431561952175	true	true	atom_local	strict_fake_ge_1e_m3_repr_ge_0p99	8.256291673579916e-5	0.9999174370832644	4.503695492479237e-16	7.762249324322004e-25	4.3266175209400294e-24	9.533972895488114e-22	0.9999999999999997	a_dyy5:2.127176637396e-01,a_dxx5:2.127176622122e-01,a_dyy4:1.301594063733e-01,a_dxx4:1.301594048253e-01,a_dxy5:1.216881165331e-01,a_dxy4:7.445950982607e-02,a_dyy3:4.202356227531e-02,a_dxx3:4.202356133203e-02
39	-1.587382839461794	-1.3017039240605362e-14	-2.1022379095941868e-14	0.5448590220386849	0.5448590220401628	0.3145751232465484	0.9999884691886942	1.1530811305953688e-5	1	a_dxy5	a_dxy	dxy	1.7498265441402059	0.344222774164711	0.11246280021395393	0.8956392726358622	0.9995415034973258	true	true	atom_local	strict_fake_ge_1e_m3_repr_ge_0p99	8.256291673556569e-5	0.9999174370832646	1.1723422397825913e-16	1.1109982385912065e-24	3.172891800329912e-24	2.6673489553757846e-22	1.0000000000000002	a_dxy5:3.328868121224e-01,a_dxy4:2.036894773649e-01,a_dyy5:1.071183154700e-01,a_dxx5:1.071183148920e-01,a_dxy3:6.576364805456e-02,a_dyy4:6.554442213023e-02,a_dxx4:6.554442152985e-02,a_dyy3:2.116182131248e-02
40	-1.586112637089921	8.226575802346586e-15	-6.480034794478155e-15	1.090640340927198	1.0906403409279952	0.6370101397937066	0.9998935550687795	0.00010644493122051017	1	a_dyy5	a_dyy	dyy	1.7809603660636901	0.33940491743199935	0.1077319597272729	0.7353392267550806	0.9989184124760399	true	true	atom_local	strict_fake_ge_1e_m3_repr_ge_0p99	0.0002697282032204605	0.9997302717967799	1.2400856720166854e-16	2.469689401191409e-24	1.039456720646624e-23	1.0148923940469805e-21	1.0000000000000002	a_dyy5:3.548695414545e-01,a_dxx5:3.548695404556e-01,a_dxy5:1.377282293550e-01,a_dxx2:2.930741109294e-02,a_dyy2:2.930741103754e-02,a_dxx3:2.317532192352e-02,a_dyy3:2.317532155108e-02,a_dxy2:1.137448376699e-02
